Benchmark,Strategy,Sampling time,Approx n combinations,Approx coverage
pc_vmWare.cnf,3,884.2053044557572,2.0388853494211328e+17,0.8964821621775244
pc_vmWare.cnf,5,2.7827245235443114,2.0087526211653165e+17,0.8832330339777699
phycore.cnf,3,982.3301121473312,2.1180548823125382e+17,0.8913050107008517
phycore.cnf,5,2.7418645143508913,2.1173759310758336e+17,0.8910192992000072
phycore229x.cnf,3,1088.7823884487152,2.9451702127475923e+17,0.9000728173096045
phycore229x.cnf,5,3.251095509529114,2.9358530383472966e+17,0.8972253977018884
picasso.cnf,3,920.571362543106,1.896317606568126e+17,0.8941039814472207
picasso.cnf,5,3.2088708162307737,1.8769149888340115e+17,0.884955747150137
pid.cnf,3,894.4280573606491,1.691880370109486e+17,0.8957923299228056
pid.cnf,5,2.6603595495223997,1.681549198244173e+17,0.8903223305779566
prpmc1100.cnf,3,884.4519590139389,1.653330493146102e+17,0.901928577132919
prpmc1100.cnf,5,2.1543176651000975,1.6403536280831264e+17,0.8948494084546569
psim.cnf,3,842.8403883934021,1.3600088129347677e+17,0.9022823366951598
psim.cnf,5,2.159548616409302,1.3436611545881454e+17,0.8914366692022743
rattler.cnf,3,927.9747420549393,2.6697778101577498e+17,0.8812967382583493
rattler.cnf,5,8.136149549484253,2.6598385884359418e+17,0.8780157896899221
ref4955.cnf,3,895.8922445058822,1.6291087924382406e+17,0.897674616696317
ref4955.cnf,5,2.872286820411682,1.6073255070978534e+17,0.8856715494922831
refidt334.cnf,3,852.8904224395752,2.1405272179440246e+17,0.8951948589799315
refidt334.cnf,5,3.1607847213745117,2.1141786391870256e+17,0.8841755586659887
sa1100mm.cnf,3,890.984824347496,1.6380668217444186e+17,0.8956648563910208
sa1100mm.cnf,5,2.596487879753113,1.6311731191473894e+17,0.8918955064080969
sam7ex256.cnf,3,990.2959264039994,2.719159489211532e+17,0.898014883770578
sam7ex256.cnf,5,2.6110579490661623,2.697773273446802e+17,0.8909519879969191
se7751.cnf,3,942.2634742021561,2.3326062534221917e+17,0.8896491834448318
se7751.cnf,5,1.725523591041565,2.3137686799971395e+17,0.8824645881917356
sh4_202_md.cnf,3,931.9390907764434,1.9954463744603334e+17,0.8965222421572043
sh4_202_md.cnf,5,1.8761813163757324,1.9756751955115437e+17,0.8876393666722372
sh7708.cnf,3,935.985996890068,1.897398835764455e+17,0.89077169447777
sh7708.cnf,5,3.0746423244476317,1.88279132445491e+17,0.8839139071976044
skmb91302.cnf,3,915.7360648870468,1.627094317065449e+17,0.8948297580397802
skmb91302.cnf,5,2.1636917352676392,1.603324782496816e+17,0.8817575675443152
sleb.cnf,3,887.2556233644485,1.4182431044879133e+17,0.9109354444616854
sleb.cnf,5,2.319613218307495,1.4017865168766725e+17,0.900365402624337
smdk2410.cnf,3,977.0337258815765,2.01821320477409e+17,0.8934745992942935
smdk2410.cnf,5,3.30056631565094,2.00678719708308e+17,0.8884162399400343
snds.cnf,3,877.1884122610093,1.6400804511996154e+17,0.8950439713226069
snds.cnf,5,2.305183243751526,1.6270343199718358e+17,0.8879242833243951
sparc_erc32.cnf,3,875.522720003128,1.2715329409630008e+17,0.9032526813106089
sparc_erc32.cnf,5,1.8985254764556885,1.2546233106948306e+17,0.8912406693621585
sparc_leon.cnf,3,878.6440795421601,1.2733728206629594e+17,0.9056914991355501
sparc_leon.cnf,5,2.225486946105957,1.2638130505161042e+17,0.8988920744775079
sparclite_sim.cnf,3,874.7875611305237,1.2682064570381726e+17,0.902016902394922
sparclite_sim.cnf,5,2.2276617288589478,1.2600332657538355e+17,0.8962036874849486
stb.cnf,3,947.479720377922,1.9314415945685565e+17,0.8975616707427027
stb.cnf,5,1.8735700130462647,1.905491365365311e+17,0.8855023202837912
stdeval1.cnf,3,888.9498426437378,1.4225801961246902e+17,0.8984924661267354
stdeval1.cnf,5,2.1996726989746094,1.417796338008938e+17,0.8954710122306866
stm3210e_eval.cnf,3,899.64186668396,2.148215704495468e+17,0.906681950504913
stm3210e_eval.cnf,5,2.4053515195846558,2.129513202625847e+17,0.8987883200659471
toybox.cnf,3,896.7851483106613,172335947373734.3,0.9991307159294314
toybox.cnf,5,0.9822358369827271,172495918757899.8,1
ts1000.cnf,3,949.9379982233047,2.485576946220067e+17,0.8990117807632689
ts1000.cnf,5,2.398989748954773,2.453084551655487e+17,0.8872595614070392
ts6.cnf,3,869.3592473745346,1.8821793404612448e+17,0.8912821444601625
ts6.cnf,5,1.8758485555648803,1.8674008319124627e+17,0.8842839692554271
tx39_sim.cnf,3,927.3218675374985,1.332900296681199e+17,0.9052163663553724
tx39_sim.cnf,5,1.579578971862793,1.3175279180358877e+17,0.894776479160362
uClinux-config.cnf,3,-1.0,-1.0,-1
uClinux-config.cnf,5,23.66103312969208,-1.0,-1
uClinux.cnf,3,301.6036135911942,3.016706801239522e+16,0.10002328994581572
uClinux.cnf,5,2.9624811172485352,3.010840859880626e+17,0.9982879615109064
uE250.cnf,3,899.3699761629105,1.9040643681738675e+17,0.8983526595123416
uE250.cnf,5,2.4409805059432985,1.886609432148824e+17,0.8901172823571278
vads.cnf,3,870.869689822197,1.882470594387737e+17,0.8938027438183792
vads.cnf,5,7.956390118598938,1.866807999467105e+17,0.8863660962781132
viper.cnf,3,897.3208400249481,2.5298320967550138e+17,0.9014813535817542
viper.cnf,5,2.1494319438934326,2.4948442383133523e+17,0.8890137664927246
vrc4373.cnf,3,882.9203742027282,1.8762398375223866e+17,0.895933190252179
vrc4373.cnf,5,1.9065889835357666,1.8688306793621766e+17,0.8923952040231233
vrc4375.cnf,3,888.8345920324325,2.0297001237082486e+17,0.8875007253367833
vrc4375.cnf,5,2.0228423357009886,2.0232806128763574e+17,0.8846937488514087
