Benchmark,Strategy,Preprocessing,Sampling time,Coverage time, N combinations, Coverage, Approx Coverage time, Approx n combinations, Approx coverage
assabet.cnf,4,-,908.344020318985,15161.987204027162,2693044.0,0.9162884019109386,159.80078973770142,2691573.6,0.9145754501565764
assabet.cnf,5,-,737.2730566501616,15163.43599796296,2867823.8,0.9757559425929004,159.87243809700018,2871339.8,0.975658585051322
at91sam7sek.cnf,1,exact,1111.207535934448,15990.86278891562,2825227.2,0.9197092324870516,144.7200728416444,2824907.8,0.9189537053422718
at91sam7sek.cnf,1,approx,1137.761406326294,15990.76452598572,2826310.2,0.9200617864688281,144.7209785938264,2827751.2,0.9198786746335775
at91sam7sek.cnf,2,-,1142.877165985108,15990.47827301026,2820786.6,0.9182636635013852,144.8226800441742,2813192.6,0.9151427043429379
at91sam7sek.cnf,3,exact,1109.0558536529538,15993.43466925622,2827467.2,0.9204384300116866,145.2118350505828,2829419.6,0.9204214117671553
at91sam7sek.cnf,3,approx,1137.621839475632,15990.80486326218,2830960.8,0.9215757177224295,144.7228514671326,2839125.2,0.9235786819203863
at91sam7sek.cnf,4,-,1136.533205604552,15997.72063674928,2821468.2,0.918485547891024,145.37566056251518,2814974.4,0.9157223309460358
at91sam7sek.cnf,5,-,922.1352696895603,15995.4098391533,3004767.4,0.9781557813318923,145.1234177589418,3003744.0,0.9771298301132578
at91sam7xek.cnf,1,exact,1309.73062400818,16776.0687242508,2965944.4,0.9217660199473159,154.83331160545362,2967613.2,0.9203111354795173
at91sam7xek.cnf,1,approx,1392.716872930528,16775.21509633064,2965390.2,0.9215937838365329,154.9885457515718,2955085.8,0.9164261595943156
at91sam7xek.cnf,2,-,1388.002334499358,16775.034446764017,2958399.8,0.9194212841815024,154.9793835163116,2961722.8,0.9184844146951413
at91sam7xek.cnf,3,exact,1305.761143255236,16775.82979798318,2974215.2,0.9243364465533508,154.9178864479066,2969969.8,0.9210419602453161
at91sam7xek.cnf,3,approx,1355.547296333314,16782.19430437088,2974298.0,0.9243621794114756,155.6148377895354,2970637.4,0.9212489952167356
at91sam7xek.cnf,4,-,1362.582999420166,16775.782548761363,2960702.4,0.9201368938326914,154.8435422420502,2966474.6,0.9199580347927914
at91sam7xek.cnf,5,-,1155.012926578524,16777.515565299982,3156879.2,0.981105369216789,155.01154193878202,3160749.4,0.9802062038543984
atlas_mips32_4kc.cnf,1,exact,702.7960084438324,13155.309120464339,2547763.2,0.9214986668132715,154.7988337516784,2547067.2,0.9226151010756679
atlas_mips32_4kc.cnf,1,approx,711.1914062023163,13152.91429228782,2550250.4,0.9223982604191836,154.32797532081602,2550805.0,0.9239690310877225
atlas_mips32_4kc.cnf,2,-,701.8862465858463,13152.53149662016,2544105.4,0.9201756797226857,154.3063397884368,2547701.2,0.9228447526428042
atlas_mips32_4kc.cnf,3,exact,701.2903751850129,13152.798730659479,2546577.2,0.9210697033135078,154.343677473068,2545064.2,0.9218895615031528
atlas_mips32_4kc.cnf,3,approx,703.4250335216523,13152.870488262182,2548322.4,0.9217009234650992,154.31334838867178,2549403.4,0.9234613345001857
atlas_mips32_4kc.cnf,4,-,687.4434201717376,13152.54579882622,2543854.6,0.920084968048368,154.32479162216183,2544764.2,0.9217808935691764
atlas_mips32_4kc.cnf,5,-,577.398407649994,13156.065607452378,2687804.6,0.9721501415651884,154.6641676902774,2691315.2,0.9748655415430267
atlas_mips64_5kc.cnf,1,exact,1398.307818841934,12932.457281684841,2520519.6,0.9225852831130691,156.85646486282363,2518705.4,0.9219165075665291
atlas_mips64_5kc.cnf,1,approx,1431.771493434906,12932.51784877778,2521391.2,0.9229043146860672,156.8756391525266,2516528.0,0.9211195183658173
atlas_mips64_5kc.cnf,2,-,1463.254191875456,12932.76165575978,2513567.6,0.9200406439489053,157.0239533901216,2509995.6,0.918728477558096
atlas_mips64_5kc.cnf,3,exact,1388.9909548282642,12932.41814537048,2522943.4,0.9234724661404137,156.8686087608338,2523885.2,0.9238124590048724
atlas_mips64_5kc.cnf,3,approx,1424.9846259593978,12931.95062732696,2523036.8,0.9235066533236601,156.71667518615718,2524973.8,0.9242109170024367
atlas_mips64_5kc.cnf,4,-,1407.650000572206,12957.48938398362,2510625.4,0.9189637110736459,158.7800916671752,2503298.2,0.916277042142991
atlas_mips64_5kc.cnf,5,-,1218.5559060096741,12933.36670532226,2662991.0,0.9747340610493781,156.756536626816,2662022.6,0.9743746046898426
axtls.cnf,1,exact,1.0419446468353266,3.143627500534058,16022.0,0.9882802862077474,21.10644068717954,16022.0,0.9877928483353882
axtls.cnf,1,approx,1.1237356185913088,3.142746353149414,16022.0,0.9882802862077474,21.21345539093016,16022.0,0.9877928483353882
axtls.cnf,2,-,0.9823402404785158,3.134612607955934,15963.2,0.9846533432025659,21.265229415893536,15963.2,0.9841676942046856
axtls.cnf,3,exact,2.367099094390868,3.104789876937866,16092.4,0.9926227485812978,20.940837907791142,16092.4,0.9921331689272502
