Benchmark,Strategy,Sampling time,Approx coverage
uClinux-config.cnf,3,-1.0,-1.0
uClinux-config.cnf,5,23.66103312969208,2790171189194481.5
uClinux.cnf,3,587.6806768417358,1507417106480.0
uClinux.cnf,5,2.9624811172485352,1508446999208.5
uE250.cnf,3,135.84257843494416,1236417396077.6
uE250.cnf,5,2.4409805059432985,1232658150725.9
vads.cnf,3,128.0682946920395,1230925956746.8
vads.cnf,5,7.956390118598938,1229129287432.4
viper.cnf,3,128.02474491596223,1489489375035.2
viper.cnf,5,2.1494319438934326,1489824870583.5
vrc4373.cnf,3,131.76983754634858,1225873529772.7
vrc4373.cnf,5,1.9065889835357666,1222122121907.0
vrc4375.cnf,3,132.01842539310456,1294649937016.5
vrc4375.cnf,5,2.0228423357009886,1292956979272.1
